E_nu_MeV,X_times_N_nue
2.68645045e+01,1.94055498e+05
2.69173874e+01,1.94423466e+05
2.69702703e+01,1.94789816e+05
2.70231532e+01,1.95154540e+05
2.70760360e+01,1.95517628e+05
2.71289189e+01,1.95879071e+05
2.71818018e+01,1.96238860e+05
2.72346847e+01,1.96596986e+05
2.72875676e+01,1.96953440e+05
2.73404505e+01,1.97308212e+05
2.73933333e+01,1.97661293e+05
2.74462162e+01,1.98012674e+05
2.74990991e+01,1.98362346e+05
2.75519820e+01,1.98710300e+05
2.76048649e+01,1.99056526e+05
2.76577477e+01,1.99401016e+05
2.77106306e+01,1.99743759e+05
2.77635135e+01,2.00084748e+05
2.78163964e+01,2.00423972e+05
2.78692793e+01,2.00761423e+05
2.79221622e+01,2.01097091e+05
2.79750450e+01,2.01430967e+05
2.80279279e+01,2.01763042e+05
2.80808108e+01,2.02093307e+05
2.81336937e+01,2.02421753e+05
2.81865766e+01,2.02748370e+05
2.82394595e+01,2.03073149e+05
2.82923423e+01,2.03396081e+05
2.83452252e+01,2.03717157e+05
2.83981081e+01,2.04036367e+05
2.84509910e+01,2.04353703e+05
2.85038739e+01,2.04669156e+05
2.85567568e+01,2.04982715e+05
2.86096396e+01,2.05294372e+05
2.86625225e+01,2.05604118e+05
2.87154054e+01,2.05911944e+05
2.87682883e+01,2.06217839e+05
2.88211712e+01,2.06521796e+05
2.88740541e+01,2.06823805e+05
2.89269369e+01,2.07123856e+05
2.89798198e+01,2.07421941e+05
2.90327027e+01,2.07718051e+05
2.90855856e+01,2.08012175e+05
2.91384685e+01,2.08304306e+05
2.91913514e+01,2.08594433e+05
2.92442342e+01,2.08882548e+05
2.92971171e+01,2.09168642e+05
2.93500000e+01,2.09452704e+05
2.94028829e+01,2.09734727e+05
2.94557658e+01,2.10014701e+05
2.95086486e+01,2.10292616e+05
2.95615315e+01,2.10568464e+05
2.96144144e+01,2.10842234e+05
2.96672973e+01,2.11113920e+05
2.97201802e+01,2.11383509e+05
2.97730631e+01,2.11650995e+05
2.98259459e+01,2.11916367e+05
2.98788288e+01,2.12179617e+05
2.99317117e+01,2.12440735e+05
2.99845946e+01,2.12699711e+05
3.00374775e+01,2.12956538e+05
3.00903604e+01,2.13211205e+05
3.01432432e+01,2.13463703e+05
3.01961261e+01,2.13714024e+05
3.02490090e+01,2.13962158e+05
3.03018919e+01,2.14208095e+05
3.03547748e+01,2.14451827e+05
3.04076577e+01,2.14693345e+05
3.04605405e+01,2.14932639e+05
3.05134234e+01,2.15169699e+05
3.05663063e+01,2.15404518e+05
3.06191892e+01,2.15637086e+05
3.06720721e+01,2.15867393e+05
3.07249550e+01,2.16095430e+05
3.07778378e+01,2.16321188e+05
3.08307207e+01,2.16544659e+05
3.08836036e+01,2.16765832e+05
3.09364865e+01,2.16984699e+05
3.09893694e+01,2.17201250e+05
3.10422523e+01,2.17415476e+05
3.10951351e+01,2.17627368e+05
3.11480180e+01,2.17836917e+05
3.12009009e+01,2.18044114e+05
3.12537838e+01,2.18248949e+05
3.13066667e+01,2.18451413e+05
3.13595495e+01,2.18651498e+05
3.14124324e+01,2.18849193e+05
3.14653153e+01,2.19044490e+05
3.15181982e+01,2.19237379e+05
3.15710811e+01,2.19427852e+05
3.16239640e+01,2.19615899e+05
3.16768468e+01,2.19801510e+05
3.17297297e+01,2.19984678e+05
3.17826126e+01,2.20165392e+05
3.18354955e+01,2.20343643e+05
3.18883784e+01,2.20519422e+05
3.19412613e+01,2.20692721e+05
3.19941441e+01,2.20863529e+05
3.20470270e+01,2.21031838e+05
3.20999099e+01,2.21197638e+05
3.21527928e+01,2.21360920e+05
3.22056757e+01,2.21521676e+05
3.22585586e+01,2.21679895e+05
3.23114414e+01,2.21835569e+05
3.23643243e+01,2.21988688e+05
3.24172072e+01,2.22139244e+05
3.24700901e+01,2.22287227e+05
3.25229730e+01,2.22432627e+05
3.25758559e+01,2.22575437e+05
3.26287387e+01,2.22715646e+05
3.26816216e+01,2.22853245e+05
3.27345045e+01,2.22988225e+05
3.27873874e+01,2.23120577e+05
3.28402703e+01,2.23250292e+05
3.28931532e+01,2.23377361e+05
3.29460360e+01,2.23501774e+05
3.29989189e+01,2.23623522e+05
3.30518018e+01,2.23742596e+05
3.31046847e+01,2.23858987e+05
3.31575676e+01,2.23972686e+05
3.32104505e+01,2.24083683e+05
3.32633333e+01,2.24191969e+05
3.33162162e+01,2.24297535e+05
3.33690991e+01,2.24400372e+05
3.34219820e+01,2.24500471e+05
3.34748649e+01,2.24597822e+05
3.35277477e+01,2.24692417e+05
3.35806306e+01,2.24784246e+05
3.36335135e+01,2.24873300e+05
3.36863964e+01,2.24959569e+05
3.37392793e+01,2.25043045e+05
3.37921622e+01,2.25123718e+05
3.38450450e+01,2.25201580e+05
3.38979279e+01,2.25276620e+05
3.39508108e+01,2.25348830e+05
3.40036937e+01,2.25418201e+05
3.40565766e+01,2.25484723e+05
3.41094595e+01,2.25548388e+05
3.41623423e+01,2.25609185e+05
3.42152252e+01,2.25667107e+05
3.42681081e+01,2.25722143e+05
3.43209910e+01,2.25774284e+05
3.43738739e+01,2.25823522e+05
3.44267568e+01,2.25869847e+05
3.44796396e+01,2.25913249e+05
3.45325225e+01,2.25953721e+05
3.45854054e+01,2.25991252e+05
3.46382883e+01,2.26025833e+05
3.46911712e+01,2.26057455e+05
3.47440541e+01,2.26086110e+05
3.47969369e+01,2.26111787e+05
3.48498198e+01,2.26134478e+05
3.49027027e+01,2.26154173e+05
3.49555856e+01,2.26170863e+05
3.50084685e+01,2.26184539e+05
3.50613514e+01,2.26195192e+05
3.51142342e+01,2.26202813e+05
3.51671171e+01,2.26207392e+05
3.52200000e+01,2.26208921e+05
3.52728829e+01,2.26207389e+05
3.53257658e+01,2.26202789e+05
3.53786486e+01,2.26195110e+05
3.54315315e+01,2.26184343e+05
3.54844144e+01,2.26170480e+05
3.55372973e+01,2.26153511e+05
3.55901802e+01,2.26133427e+05
3.56430631e+01,2.26110219e+05
3.56959459e+01,2.26083877e+05
3.57488288e+01,2.26054392e+05
3.58017117e+01,2.26021756e+05
3.58545946e+01,2.25985959e+05
3.59074775e+01,2.25946991e+05
3.59603604e+01,2.25904844e+05
3.60132432e+01,2.25859509e+05
