E_nu_MeV,X_times_N_anti_nu_mu
3.45854054e+01,1.84395760e+05
3.46382883e+01,1.84741076e+05
3.46911712e+01,1.85085915e+05
3.47440541e+01,1.85430274e+05
3.47969369e+01,1.85774151e+05
3.48498198e+01,1.86117543e+05
3.49027027e+01,1.86460446e+05
3.49555856e+01,1.86802858e+05
3.50084685e+01,1.87144775e+05
3.50613514e+01,1.87486194e+05
3.51142342e+01,1.87827112e+05
3.51671171e+01,1.88167526e+05
3.52200000e+01,1.88507434e+05
3.52728829e+01,1.88846831e+05
3.53257658e+01,1.89185716e+05
3.53786486e+01,1.89524084e+05
3.54315315e+01,1.89861934e+05
3.54844144e+01,1.90199260e+05
3.55372973e+01,1.90536062e+05
3.55901802e+01,1.90872335e+05
3.56430631e+01,1.91208077e+05
3.56959459e+01,1.91543285e+05
3.57488288e+01,1.91877954e+05
3.58017117e+01,1.92212084e+05
3.58545946e+01,1.92545669e+05
3.59074775e+01,1.92878708e+05
3.59603604e+01,1.93211197e+05
3.60132432e+01,1.93543133e+05
3.60661261e+01,1.93874513e+05
3.61190090e+01,1.94205334e+05
3.61718919e+01,1.94535593e+05
3.62247748e+01,1.94865287e+05
3.62776577e+01,1.95194413e+05
3.63305405e+01,1.95522967e+05
3.63834234e+01,1.95850947e+05
3.64363063e+01,1.96178350e+05
3.64891892e+01,1.96505173e+05
3.65420721e+01,1.96831412e+05
3.65949550e+01,1.97157064e+05
3.66478378e+01,1.97482127e+05
3.67007207e+01,1.97806597e+05
3.67536036e+01,1.98130471e+05
3.68064865e+01,1.98453746e+05
3.68593694e+01,1.98776420e+05
3.69122523e+01,1.99098488e+05
3.69651351e+01,1.99419949e+05
3.70180180e+01,1.99740798e+05
3.70709009e+01,2.00061034e+05
3.71237838e+01,2.00380652e+05
3.71766667e+01,2.00699650e+05
3.72295495e+01,2.01018025e+05
3.72824324e+01,2.01335773e+05
3.73353153e+01,2.01652892e+05
3.73881982e+01,2.01969378e+05
3.74410811e+01,2.02285229e+05
3.74939640e+01,2.02600441e+05
3.75468468e+01,2.02915011e+05
3.75997297e+01,2.03228937e+05
3.76526126e+01,2.03542215e+05
3.77054955e+01,2.03854841e+05
3.77583784e+01,2.04166814e+05
3.78112613e+01,2.04478130e+05
3.78641441e+01,2.04788786e+05
3.79170270e+01,2.05098779e+05
3.79699099e+01,2.05408105e+05
3.80227928e+01,2.05716763e+05
3.80756757e+01,2.06024748e+05
3.81285586e+01,2.06332057e+05
3.81814414e+01,2.06638688e+05
3.82343243e+01,2.06944638e+05
3.82872072e+01,2.07249903e+05
3.83400901e+01,2.07554480e+05
3.83929730e+01,2.07858367e+05
3.84458559e+01,2.08161560e+05
3.84987387e+01,2.08464056e+05
3.85516216e+01,2.08765852e+05
3.86045045e+01,2.09066945e+05
3.86573874e+01,2.09367332e+05
3.87102703e+01,2.09667010e+05
3.87631532e+01,2.09965976e+05
3.88160360e+01,2.10264227e+05
3.88689189e+01,2.10561759e+05
3.89218018e+01,2.10858570e+05
3.89746847e+01,2.11154657e+05
3.90275676e+01,2.11450016e+05
3.90804505e+01,2.11744645e+05
3.91333333e+01,2.12038540e+05
3.91862162e+01,2.12331699e+05
3.92390991e+01,2.12624118e+05
3.92919820e+01,2.12915793e+05
3.93448649e+01,2.13206724e+05
3.93977477e+01,2.13496905e+05
3.94506306e+01,2.13786334e+05
3.95035135e+01,2.14075008e+05
3.95563964e+01,2.14362925e+05
3.96092793e+01,2.14650080e+05
3.96621622e+01,2.14936470e+05
3.97150450e+01,2.15222094e+05
3.97679279e+01,2.15506947e+05
3.98208108e+01,2.15791027e+05
3.98736937e+01,2.16074330e+05
3.99265766e+01,2.16356854e+05
3.99794595e+01,2.16638595e+05
4.00323423e+01,2.16919550e+05
4.00852252e+01,2.17199717e+05
4.01381081e+01,2.17479092e+05
4.01909910e+01,2.17757672e+05
4.02438739e+01,2.18035454e+05
4.02967568e+01,2.18312436e+05
4.03496396e+01,2.18588613e+05
4.04025225e+01,2.18863983e+05
4.04554054e+01,2.19138543e+05
4.05082883e+01,2.19412290e+05
4.05611712e+01,2.19685220e+05
4.06140541e+01,2.19957331e+05
4.06669369e+01,2.20228620e+05
4.07198198e+01,2.20499083e+05
