E_MeV,phi_500m_1_per_MeV_cm2_s,dphi_500m_1_per_MeV_cm2_s
11.0625,219012.21071359538,66539.01655543997
11.0875,211927.86338613727,64664.523068176444
11.1125,205210.8967574656,62788.4800678593
11.1375,199433.4734957475,60968.80704002344
11.1625,193527.0922872811,59287.132720648326
11.1875,188229.87976942933,57570.59685122233
11.2125,183050.8745314165,55862.82822339744
11.2375,177712.14409188056,54107.67396052284
11.2625,172577.75845997187,52464.5662163211
11.2875,167611.2920296468,50842.15571649378
11.3125,162473.3579413347,49207.6144471629
11.3375,157527.76209570924,47671.22886777838
11.3625,152774.20470890772,46155.63388392991
11.3875,148066.63524519032,44663.31321875757
11.4125,143387.04219782568,43194.69040976174
11.4375,138779.4739519141,41751.720038495805
11.4625,133934.9641738611,40313.26266937573
11.4875,129353.78292289603,38906.456501001
11.5125,124753.54797379173,37531.04063567973
11.5375,120321.3602013471,36157.78809432984
11.5625,115430.69677559785,34837.08122967373
11.5875,111106.80080728709,33582.40810663894
11.6125,107048.25158348432,32283.331860865812
11.6375,102894.84600265825,31070.984040497104
11.6625,98998.4317973832,29881.18437065447
11.6875,95110.24574651089,28716.948313115052
11.7125,90901.65221048656,27551.89373617374
11.7375,86630.84501895227,26458.043394494016
11.7625,81462.36063199083,25099.152664566864
11.7875,73260.98398027346,23224.05479459289
11.8125,70474.36515425176,22355.383738114215
11.8375,67736.90879372165,21500.017371469374
11.8625,65036.52126091125,20651.178115009614
11.8875,62574.458566415284,19788.31944645764
11.9125,60156.94599398697,18972.167546669887
11.9375,57843.35724483406,18172.45469516421
11.9625,55568.821828964086,17396.645890914762
11.9875,53161.654482363934,16632.623517540338
12.0125,50766.56404205629,15857.655539052783
12.0375,48367.73920468102,15141.52485635269
12.0625,46329.034253925405,14456.361488141161
12.0875,44311.37207000302,13775.2096770173
12.1125,42283.992394939356,13085.098470816307
12.1375,40339.04994962788,12441.712914254967
12.1625,38425.64843099627,11810.461247948118
12.1875,35818.09342375545,11175.387837193437
12.2125,33893.99877514515,10565.105144528668
12.2375,32039.40524012961,9939.014139835854
12.2625,30260.724141861887,9351.341584807984
12.2875,28484.89888588802,8782.92000667697
12.3125,26737.75853454046,8245.175839637839
12.3375,25056.86149798538,7723.848860843173
12.3625,23551.91381902516,7222.833424049401
12.3875,22033.60767158739,6735.64618310547
12.4125,20552.081754590854,6262.362315061394
12.4375,19157.084937311574,5802.663318602016
12.4625,17807.356907537778,5360.659616928106
12.4875,16499.470837042063,4942.657200129045
